iter	Passed	Remaining
403	7935	70634
404	7951	70579
405	7968	70534
406	7984	70484
407	8000	70433
408	8014	70368
409	8030	70312
410	8046	70260
411	8062	70216
412	8079	70168
413	8094	70116
414	8112	70076
415	8128	70032
416	8150	70027
417	8166	69977
418	8181	69921
419	8196	69869
420	8214	69834
421	8234	69819
422	8253	69791
423	8270	69752
424	8288	69724
425	8305	69680
426	8321	69627
427	8335	69568
428	8352	69528
429	8369	69487
430	8385	69436
431	8403	69407
432	8420	69368
433	8436	69321
434	8454	69288
435	8471	69246
436	8487	69199
437	8503	69151
438	8519	69107
439	8536	69070
440	8552	69021
441	8570	68992
442	8587	68949
443	8605	68922
444	8621	68873
445	8637	68829
446	8656	68802
447	8669	68740
448	8683	68676
449	8700	68638
450	8716	68590
451	8733	68550
452	8749	68507
453	8765	68461
454	8779	68406
455	8794	68349
456	8809	68296
457	8826	68260
458	8842	68217
459	8860	68185
460	8876	68146
461	8893	68108
462	8909	68062
463	8926	68022
464	8942	67982
465	8959	67944
466	8975	67905
467	8991	67857
468	9007	67812
469	9022	67765
470	9038	67718
471	9058	67709
472	9075	67674
473	9093	67645
474	9109	67600
475	9126	67568
476	9140	67511
477	9156	67468
478	9172	67427
479	9188	67385
480	9205	67350
481	9221	67307
482	9239	67279
483	9256	67246
484	9271	67193
485	9287	67152
486	9303	67111
487	9318	67060
488	9334	67023
489	9352	66990
490	9367	66945
491	9384	66911
492	9399	66862
493	9415	66825
494	9430	66775
495	9446	66732
496	9462	66692
497	9477	66646
498	9492	66602
499	9507	66553
500	9524	66516
501	9540	66478
502	9557	66448
503	9574	66411
504	9588	66362
505	9604	66323
506	9621	66289
507	9636	66244
508	9653	66211
509	9670	66176
510	9688	66151
511	9703	66105
512	9719	66064
513	9735	66029
514	9752	65996
515	9769	65964
516	9787	65937
517	9804	65905
518	9822	65879
519	9839	65846
520	9854	65801
521	9873	65786
522	9889	65746
523	9905	65706
524	9921	65668
525	9936	65629
526	9952	65589
527	9970	65565
528	9985	65517
529	10001	65479
530	10016	65438
531	10033	65409
532	10049	65366
533	10064	65327
534	10081	65291
535	10097	65257
536	10113	65219
537	10128	65176
538	10146	65150
539	10162	65113
540	10178	65075
541	10193	65037
542	10207	64985
543	10224	64956
544	10240	64919
545	10257	64887
546	10274	64856
547	10290	64825
548	10307	64791
549	10329	64791
550	10344	64754
551	10360	64714
552	10377	64683
553	10392	64645
554	10409	64616
555	10426	64587
556	10442	64548
557	10460	64525
558	10475	64484
559	10492	64450
560	10507	64411
561	10522	64373
562	10538	64336
563	10554	64298
564	10570	64263
565	10587	64237
566	10603	64198
567	10618	64156
568	10633	64120
569	10648	64078
570	10663	64035
571	10678	63994
572	10694	63963
573	10710	63928
574	10728	63904
575	10743	63864
576	10760	63833
577	10776	63798
578	10794	63778
579	10809	63741
580	10827	63714
581	10844	63686
582	10861	63660
583	10879	63637
584	10895	63604
585	10910	63565
586	10928	63539
587	10942	63497
588	10957	63455
589	10973	63421
590	10989	63390
591	11007	63367
592	11025	63343
593	11040	63308
594	11055	63269
595	11068	63216
596	11085	63186
597	11102	63162
598	11119	63135
599	11136	63105
600	11152	63071
601	11169	63048
602	11186	63020
603	11202	62986
604	11218	62950
605	11232	62908
606	11249	62879
607	11266	62853
608	11283	62825
609	11300	62802
610	11318	62781
611	11336	62756
612	11351	62720
613	11369	62699
614	11387	62678
615	11406	62661
616	11422	62629
617	11438	62596
618	11454	62567
619	11471	62537
620	11489	62517
621	11510	62510
622	11526	62479
623	11541	62442
624	11557	62409
625	11572	62375
626	11587	62334
627	11605	62316
628	11623	62295
629	11638	62255
630	11653	62217
631	11669	62189
632	11683	62145
633	11700	62119
634	11716	62086
635	11732	62058
636	11746	62015
637	11763	61987
638	11780	61963
639	11795	61927
640	11813	61903
641	11830	61879
642	11847	61855
643	11862	61819
644	11878	61786
645	11895	61760
646	11911	61730
647	11929	61707
648	11944	61675
649	11961	61649
650	11977	61615
651	11995	61596
652	12012	61571
653	12028	61541
654	12044	61512
655	12062	61487
656	12078	61457
657	12093	61423
658	12110	61396
659	12127	61371
660	12142	61339
661	12156	61297
662	12172	61268
663	12188	61234
664	12202	61196
665	12218	61163
666	12233	61132
667	12247	61092
668	12264	61068
669	12280	61033
670	12296	61008
671	12314	60986
672	12330	60953
673	12345	60922
674	12363	60899
675	12380	60875
676	12396	60849
677	12416	60834
678	12432	60809
679	12449	60784
680	12466	60758
681	12482	60728
682	12499	60702
683	12516	60677
684	12531	60645
685	12548	60621
686	12565	60594
687	12580	60561
688	12597	60537
689	12615	60515
690	12632	60491
691	12647	60459
692	12664	60433
693	12680	60407
694	12697	60380
695	12713	60352
696	12729	60325
697	12746	60300
698	12763	60275
699	12779	60247
700	12797	60225
701	12813	60199
702	12828	60166
703	12846	60143
704	12862	60116
705	12883	60113
706	12899	60082
707	12916	60059
708	12932	60031
709	12947	59997
710	12964	59973
711	12981	59949
712	12997	59921
713	13014	59897
714	13033	59880
715	13051	59862
716	13067	59833
717	13082	59801
718	13099	59777
719	13114	59744
720	13129	59709
721	13144	59678
722	13159	59647
723	13176	59621
724	13192	59593
725	13209	59570
726	13225	59540
727	13240	59508
728	13255	59478
729	13269	59440
730	13288	59425
731	13305	59400
732	13323	59383
733	13339	59357
734	13356	59332
735	13372	59305
736	13388	59275
737	13404	59247
738	13420	59222
739	13436	59193
740	13452	59166
741	13470	59145
742	13487	59124
743	13504	59098
744	13521	59075
745	13537	59047
746	13554	59026
747	13571	59004
748	13587	58974
749	13602	58945
750	13618	58918
751	13636	58896
752	13652	58871
753	13667	58840
754	13684	58816
755	13702	58796
756	13716	58763
757	13734	58742
758	13747	58703
759	13764	58678
760	13779	58650
761	13795	58620
762	13811	58593
763	13827	58566
764	13844	58546
765	13861	58521
766	13878	58498
767	13893	58469
768	13911	58450
769	13928	58428
770	13946	58406
771	13962	58381
772	13978	58357
773	13994	58328
774	14011	58307
775	14027	58278
776	14043	58254
777	14062	58236
778	14078	58210
779	14094	58184
780	14113	58169
781	14129	58145
782	14146	58120
783	14167	58115
784	14183	58088
785	14200	58066
786	14216	58039
787	14232	58012
788	14251	57998
789	14267	57973
790	14283	57944
791	14298	57917
792	14316	57896
793	14333	57874
794	14349	57848
795	14364	57817
796	14380	57792
797	14396	57765
798	14412	57740
799	14428	57713
800	14444	57686
801	14459	57659
802	14475	57630
803	14491	57607
804	14507	57578
805	14523	57552
806	14540	57531
807	14557	57511
808	14574	57488
809	14592	57468
810	14608	57444
811	14626	57425
812	14642	57398
813	14660	57382
814	14679	57368
815	14696	57343
816	14713	57323
817	14729	57297
818	14749	57285
819	14766	57264
820	14783	57242
821	14803	57233
822	14821	57213
823	14837	57189
824	14853	57164
825	14871	57144
826	14888	57123
827	14904	57099
828	14921	57074
829	14938	57052
830	14955	57033
831	14970	57004
832	14988	56983
833	15006	56967
834	15024	56950
835	15040	56922
836	15057	56903
837	15074	56878
838	15089	56852
839	15106	56830
840	15124	56812
841	15141	56788
842	15159	56770
843	15176	56750
844	15192	56723
845	15208	56700
846	15224	56672
847	15239	56645
848	15258	56629
849	15275	56607
850	15292	56587
851	15312	56575
852	15330	56558
853	15348	56542
854	15367	56527
855	15386	56511
856	15405	56498
857	15426	56490
858	15444	56473
859	15460	56448
860	15479	56433
861	15503	56437
862	15519	56414
863	15537	56394
864	15555	56376
865	15573	56360
866	15592	56345
867	15610	56328
868	15629	56313
869	15646	56292
870	15665	56275
871	15682	56255
872	15701	56240
873	15720	56226
874	15739	56213
875	15756	56190
876	15773	56168
877	15789	56145
878	15806	56123
879	15823	56103
880	15840	56078
881	15857	56058
882	15874	56037
883	15892	56018
884	15910	56000
885	15927	55981
886	15946	55967
887	15966	55953
888	15984	55936
889	16001	55915
890	16017	55891
891	16034	55869
892	16053	55855
893	16070	55831
894	16087	55810
895	16104	55789
896	16120	55764
897	16135	55738
898	16154	55721
899	16170	55697
900	16189	55683
901	16206	55661
902	16223	55641
903	16240	55620
904	16259	55604
905	16275	55579
906	16294	55565
907	16312	55548
908	16330	55529
909	16348	55511
910	16366	55496
911	16382	55470
912	16400	55451
913	16416	55428
914	16436	55416
915	16453	55396
916	16470	55373
917	16486	55350
918	16502	55326
919	16519	55305
920	16539	55292
921	16558	55278
922	16574	55253
923	16591	55231
924	16607	55210
925	16624	55186
926	16642	55168
927	16661	55154
928	16677	55132
929	16696	55118
930	16714	55099
931	16733	55082
932	16753	55073
933	16771	55053
934	16788	55033
935	16805	55013
936	16823	54995
937	16839	54970
938	16857	54952
939	16882	54958
940	16900	54941
941	16918	54923
942	16934	54898
943	16951	54876
944	16968	54854
945	16985	54836
946	17002	54813
947	17017	54785
948	17030	54752
949	17048	54733
950	17064	54711
951	17082	54692
952	17099	54672
953	17117	54652
954	17134	54633
955	17152	54614
956	17170	54597
957	17187	54576
958	17205	54558
959	17221	54535
960	17239	54516
961	17257	54497
962	17274	54478
963	17291	54456
964	17307	54431
965	17325	54414
966	17342	54395
967	17360	54376
968	17378	54359
969	17397	54343
970	17413	54320
971	17430	54298
972	17446	54275
973	17460	54246
974	17477	54223
975	17494	54205
976	17512	54185
977	17529	54167
978	17549	54154
979	17565	54131
980	17582	54108
981	17600	54090
982	17617	54071
983	17636	54057
984	17656	54043
985	17671	54018
986	17689	54001
987	17707	53983
988	17725	53963
989	17741	53940
990	17757	53916
991	17773	53895
992	17792	53878
993	17809	53858
994	17827	53840
995	17845	53822
996	17863	53804
997	17879	53780
998	17896	53759
999	17914	53743
1000	17931	53723
1001	17948	53701
1002	17964	53679
1003	17980	53656
1004	17997	53634
1005	18014	53612
1006	18031	53592
1007	18049	53575
1008	18063	53546
1009	18080	53526
1010	18097	53503
1011	18113	53480
1012	18131	53463
1013	18150	53450
1014	18167	53429
1015	18186	53413
1016	18203	53393
1017	18224	53383
1018	18240	53362
1019	18255	53335
1020	18272	53314
1021	18291	53299
1022	18312	53289
1023	18328	53267
1024	18347	53251
1025	18364	53232
1026	18381	53211
1027	18398	53192
1028	18417	53175
1029	18434	53156
1030	18450	53132
1031	18468	53113
1032	18485	53093
1033	18502	53073
1034	18518	53050
1035	18536	53034
1036	18553	53012
1037	18569	52988
1038	18584	52964
1039	18600	52938
1040	18613	52908
1041	18629	52885
1042	18646	52864
1043	18663	52842
1044	18679	52821
1045	18696	52799
1046	18712	52778
1047	18728	52754
1048	18745	52732
1049	18762	52713
1050	18780	52697
1051	18797	52675
1052	18811	52647
1053	18829	52628
1054	18845	52606
1055	18861	52582
1056	18878	52562
1057	18894	52539
1058	18910	52516
1059	18927	52498
1060	18946	52483
1061	18963	52462
1062	18981	52445
1063	19000	52428
1064	19019	52413
1065	19037	52396
1066	19055	52379
1067	19070	52354
1068	19086	52331
1069	19104	52313
1070	19119	52288
1071	19136	52269
1072	19153	52248
1073	19170	52228
1074	19189	52213
1075	19207	52196
1076	19226	52180
1077	19243	52162
1078	19259	52139
1079	19279	52124
1080	19296	52104
1081	19314	52089
1082	19333	52074
1083	19350	52054
1084	19368	52037
1085	19386	52018
1086	19402	51994
1087	19418	51973
1088	19437	51957
1089	19452	51933
1090	19468	51910
1091	19486	51891
1092	19502	51870
1093	19519	51849
1094	19535	51828
1095	19555	51815
1096	19572	51794
1097	19588	51771
1098	19604	51748
1099	19621	51728
1100	19640	51714
1101	19657	51695
1102	19675	51678
1103	19692	51657
1104	19710	51638
1105	19728	51622
1106	19745	51603
1107	19763	51584
1108	19780	51564
1109	19798	51546
1110	19815	51527
1111	19832	51508
1112	19849	51487
1113	19868	51473
1114	19888	51460
1115	19906	51443
1116	19923	51423
1117	19940	51404
1118	19958	51385
1119	19975	51366
1120	19991	51343
1121	20008	51324
1122	20027	51308
1123	20041	51281
1124	20058	51259
1125	20076	51242
1126	20092	51221
1127	20107	51196
1128	20125	51177
1129	20143	51161
1130	20161	51143
1131	20179	51127
1132	20198	51110
1133	20215	51090
1134	20232	51072
1135	20249	51052
1136	20266	51032
1137	20284	51013
1138	20300	50991
1139	20320	50978
1140	20338	50961
1141	20356	50944
1142	20374	50926
1143	20390	50904
1144	20406	50882
1145	20423	50863
1146	20440	50842
1147	20454	50816
1148	20471	50795
1149	20487	50773
1150	20503	50752
1151	20521	50734
1152	20539	50716
1153	20557	50698
1154	20572	50674
1155	20589	50653
1156	20604	50630
1157	20624	50616
1158	20641	50596
1159	20657	50575
1160	20675	50558
1161	20691	50536
1162	20707	50513
1163	20724	50494
1164	20741	50475
1165	20759	50456
1166	20775	50435
1167	20791	50411
1168	20807	50389
1169	20824	50369
1170	20841	50349
1171	20856	50326
1172	20873	50307
1173	20895	50299
1174	20913	50280
1175	20929	50260
1176	20947	50240
1177	20963	50219
1178	20981	50203
1179	20999	50184
1180	21017	50166
1181	21035	50151
1182	21052	50130
1183	21069	50112
1184	21087	50093
1185	21104	50073
1186	21121	50053
1187	21139	50037
1188	21155	50014
1189	21173	49998
1190	21190	49978
1191	21207	49959
1192	21225	49940
1193	21241	49920
1194	21257	49896
1195	21275	49879
1196	21291	49858
1197	21308	49837
1198	21325	49819
1199	21342	49800
1200	21359	49779
1201	21377	49761
1202	21393	49741
1203	21409	49717
1204	21426	49698
1205	21443	49679
1206	21459	49658
1207	21476	49638
1208	21493	49618
1209	21509	49597
1210	21527	49580
1211	21544	49560
1212	21563	49543
1213	21582	49528
1214	21602	49517
1215	21619	49498
1216	21636	49476
1217	21652	49454
1218	21669	49435
1219	21684	49411
1220	21702	49395
1221	21718	49374
1222	21735	49354
1223	21754	49337
1224	21770	49317
1225	21787	49297
1226	21805	49280
1227	21825	49267
1228	21842	49246
1229	21861	49231
1230	21878	49212
1231	21895	49194
1232	21913	49177
1233	21929	49154
1234	21945	49134
1235	21963	49116
1236	21981	49098
1237	21997	49076
1238	22022	49074
1239	22043	49065
1240	22072	49072
1241	22090	49053
1242	22108	49037
1243	22126	49020
1244	22143	49000
1245	22161	48982
1246	22178	48963
1247	22195	48945
1248	22214	48928
1249	22229	48904
1250	22247	48887
1251	22271	48882
1252	22287	48862
1253	22305	48844
1254	22324	48829
1255	22341	48808
1256	22358	48790
1257	22376	48772
1258	22391	48750
1259	22410	48733
1260	22429	48719
1261	22445	48698
1262	22464	48680
1263	22481	48662
1264	22497	48639
1265	22515	48623
1266	22533	48605
1267	22548	48582
1268	22566	48565
1269	22584	48547
1270	22601	48529
1271	22688	48659
1272	22734	48701
1273	22769	48719
1274	22799	48727
1275	22820	48716
1276	22838	48699
1277	22856	48682
1278	22877	48671
1279	22896	48656
1280	22918	48645
1281	22941	48639
1282	22964	48632
1283	22984	48618
1284	23005	48607
1285	23023	48588
1286	23039	48568
1287	23063	48561
1288	23081	48543
1289	23100	48529
1290	23130	48537
1291	23160	48544
1292	23197	48565
1293	23220	48558
1294	23243	48550
1295	23263	48536
1296	23285	48528
1297	23310	48524
1298	23330	48509
1299	23350	48497
1300	23371	48485
1301	23393	48475
1302	23417	48469
1303	23440	48463
1304	23477	48483
1305	23506	48489
1306	23536	48496
1307	23555	48479
1308	23576	48468
1309	23599	48460
1310	23619	48446
1311	23639	48431
1312	23664	48428
1313	23689	48423
1314	23719	48430
1315	23738	48415
1316	23757	48399
1317	23777	48385
1318	23796	48367
1319	23820	48361
1320	23838	48343
1321	23858	48331
1322	23878	48317
1323	23900	48306
1324	23919	48289
1325	23940	48277
1326	23962	48267
1327	23983	48255
1328	24005	48245
1329	24031	48242
1330	24051	48229
1331	24072	48217
1332	24092	48203
1333	24114	48192
1334	24135	48179
1335	24156	48168
1336	24175	48152
1337	24195	48138
1338	24212	48117
1339	24225	48090
1340	24243	48071
1341	24258	48046
1342	24276	48028
1343	24293	48008
1344	24309	47986
1345	24325	47964
1346	24341	47942
1347	24359	47923
1348	24376	47904
1349	24396	47888
1350	24411	47865
1351	24429	47847
1352	24444	47823
1353	24462	47804
1354	24479	47785
1355	24495	47763
1356	24516	47749
1357	24533	47729
1358	24549	47708
1359	24568	47692
1360	24586	47673
1361	24603	47653
1362	24621	47635
1363	24640	47618
1364	24658	47601
1365	24677	47584
1366	24694	47564
1367	24712	47545
1368	24728	47524
1369	24747	47507
1370	24765	47490
1371	24785	47475
1372	24876	47597
1373	24950	47685
1374	24979	47688
1375	24999	47674
1376	25016	47653
1377	25034	47633
1378	25052	47616
1379	25068	47594
1380	25085	47573
1381	25102	47553
1382	25119	47532
1383	25134	47509
1384	25153	47491
1385	25171	47472
1386	25187	47451
1387	25204	47430
1388	25222	47413
1389	25239	47392
1390	25255	47370
1391	25272	47348
1392	25289	47329
1393	25305	47306
1394	25321	47285
1395	25338	47264
1396	25355	47244
1397	25371	47222
1398	25388	47202
1399	25407	47184
1400	25423	47163
1401	25440	47142
1402	25456	47120
1403	25474	47101
1404	25492	47083
1405	25508	47062
1406	25526	47044
1407	25550	47035
1408	25566	47013
1409	25581	46990
1410	25599	46971
1411	25617	46954
1412	25635	46934
1413	25651	46912
1414	25669	46893
1415	25685	46873
1416	25704	46855
1417	25720	46834
1418	25736	46811
1419	25754	46793
1420	25771	46772
1421	25787	46750
1422	25803	46729
1423	25820	46709
1424	25837	46689
1425	25855	46669
1426	25872	46650
1427	25888	46628
1428	25908	46614
1429	25927	46597
1430	25946	46579
1431	25964	46562
1432	25981	46542
1433	25998	46521
1434	26017	46505
1435	26035	46487
1436	26054	46470
1437	26071	46450
1438	26089	46432
1439	26108	46415
1440	26126	46396
1441	26144	46378
1442	26160	46355
1443	26178	46338
1444	26197	46321
1445	26214	46302
1446	26233	46284
1447	26251	46265
1448	26268	46245
1449	26287	46228
1450	26304	46210
1451	26324	46194
1452	26340	46172
1453	26356	46151
1454	26374	46131
1455	26391	46112
1456	26406	46088
1457	26421	46065
1458	26438	46045
1459	26456	46027
1460	26474	46008
1461	26496	45997
1462	26517	45984
1463	26540	45975
1464	26561	45960
1465	26579	45942
1466	26596	45923
1467	26614	45905
1468	26632	45886
1469	26651	45869
1470	26669	45850
1471	26687	45832
1472	26706	45816
1473	26725	45799
1474	26741	45777
1475	26759	45758
1476	26778	45742
1477	26796	45724
1478	26813	45705
1479	26830	45684
1480	26847	45663
1481	26862	45641
1482	26882	45625
1483	26898	45604
1484	26918	45588
1485	26942	45580
1486	26959	45561
1487	26975	45538
1488	26993	45520
1489	27012	45503
1490	27030	45485
1491	27048	45468
1492	27068	45452
1493	27086	45433
1494	27105	45417
1495	27151	45445
1496	27188	45458
1497	27224	45471
1498	27242	45452
1499	27261	45435
1500	27279	45416
1501	27296	45397
1502	27314	45379
1503	27333	45361
1504	27352	45345
1505	27370	45326
1506	27386	45305
1507	27404	45286
1508	27420	45265
1509	27439	45247
1510	27457	45228
1511	27479	45217
1512	27502	45207
1513	27520	45188
1514	27539	45172
1515	27566	45167
1516	27584	45149
1517	27604	45134
1518	27624	45119
1519	27642	45100
1520	27663	45086
1521	27681	45069
1522	27698	45049
1523	27717	45031
1524	27733	45010
1525	27752	44993
1526	27771	44977
1527	27790	44959
1528	27827	44970
1529	27888	45022
1530	27920	45026
1531	27947	45022
1532	27967	45006
1533	27986	44990
1534	28010	44980
1535	28040	44981
1536	28075	44989
1537	28134	45036
1538	28184	45069
1539	28225	45087
1540	28263	45100
1541	28336	45169
1542	28393	45212
1543	28421	45209
1544	28446	45202
1545	28471	45193
1546	28494	45181
1547	28514	45167
1548	28535	45152
1549	28560	45144
1550	28581	45129
1551	28605	45120
1552	28632	45114
1553	28656	45104
1554	28677	45090
1555	28700	45080
1556	28727	45074
1557	28756	45072
1558	28776	45057
1559	28815	45070
1560	28847	45073
1561	28875	45069
1562	28905	45068
1563	28934	45066
1564	28959	45059
1565	28984	45049
1566	29007	45038
1567	29030	45026
1568	29054	45017
1569	29078	45006
1570	29102	44996
1571	29125	44984
1572	29144	44966
1573	29160	44945
1574	29179	44927
1575	29196	44905
1576	29214	44887
1577	29232	44868
1578	29250	44848
1579	29267	44827
1580	29285	44808
1581	29303	44789
1582	29320	44768
1583	29336	44746
1584	29355	44727
1585	29373	44708
1586	29390	44688
1587	29409	44669
1588	29425	44648
1589	29443	44628
1590	29461	44608
1591	29479	44589
1592	29497	44569
1593	29516	44552
1594	29533	44531
1595	29548	44508
1596	29566	44488
1597	29584	44468
1598	29600	44447
1599	29614	44421
1600	29633	44404
1601	29650	44383
1602	29668	44363
1603	29685	44343
1604	29702	44321
1605	29720	44303
1606	29738	44283
1607	29755	44262
1608	29774	44245
1609	29792	44226
1610	29808	44204
1611	29826	44184
1612	29844	44165
1613	29865	44150
1614	29890	44141
1615	29909	44123
1616	29928	44105
1617	29947	44087
1618	29966	44070
1619	29982	44048
1620	29998	44026
1621	30016	44006
1622	30034	43987
1623	30053	43969
1624	30071	43950
1625	30088	43929
1626	30106	43911
1627	30124	43891
1628	30143	43873
1629	30161	43854
1630	30178	43833
1631	30195	43812
1632	30213	43793
1633	30231	43774
1634	30248	43753
1635	30266	43734
1636	30284	43714
1637	30301	43694
1638	30319	43675
1639	30336	43654
1640	30353	43634
1641	30375	43620
1642	30391	43598
1643	30410	43580
1644	30427	43560
1645	30444	43539
1646	30463	43521
1647	30478	43498
1648	30494	43475
1649	30513	43458
1650	30530	43438
1651	30546	43416
1652	30563	43396
1653	30581	43375
1654	30598	43355
1655	30616	43336
1656	30633	43315
1657	30651	43296
1658	30670	43279
1659	30688	43260
1660	30704	43238
1661	30722	43218
1662	30739	43197
1663	30757	43179
1664	30776	43160
1665	30794	43141
1666	30812	43122
1667	30829	43102
